SampleID,FGA,TPO,D1S1609,D2S441,D8S1108,D21S2052,D18S51,Population
MOZ_1,"18.0,20.0",NA,NA,NA,NA,NA,"14.2,14.2",Mozambican
MOZ_2,"18.0,18.0",NA,NA,NA,NA,NA,"12.2,16.0",Mozambican
MOZ_3,"18.0,17.2",NA,NA,NA,NA,NA,"16.0,11.2",Mozambican
MOZ_4,"16.2,19.2",NA,NA,NA,NA,NA,"15.2,14.2",Mozambican
MOZ_5,"15.0,18.0",NA,NA,NA,NA,NA,"11.2,11.2",Mozambican
MOZ_6,"17.2,16.2",NA,NA,NA,NA,NA,"14.0,15.2",Mozambican
MOZ_7,"17.2,16.1",NA,NA,NA,NA,NA,"14.2,15.2",Mozambican
MOZ_8,"17.2,17.2",NA,NA,NA,NA,NA,"14.2,11.2",Mozambican
MOZ_9,"17.2,17.2",NA,NA,NA,NA,NA,"15.0,13.2",Mozambican
MOZ_10,"16.2,15.0",NA,NA,NA,NA,NA,"14.0,15.0",Mozambican
OVA_1,"17.0,16.2",NA,NA,NA,NA,NA,NA,Ovambos
OVA_2,"17.0,13.0",NA,NA,NA,NA,NA,NA,Ovambos
OVA_3,"17.0,16.2",NA,NA,NA,NA,NA,NA,Ovambos
OVA_4,"17.0,19.0",NA,NA,NA,NA,NA,NA,Ovambos
OVA_5,"14.3,17.0",NA,NA,NA,NA,NA,NA,Ovambos
OVA_6,"16.0,16.0",NA,NA,NA,NA,NA,NA,Ovambos
OVA_7,"15.0,18.0",NA,NA,NA,NA,NA,NA,Ovambos
OVA_8,"13.0,15.0",NA,NA,NA,NA,NA,NA,Ovambos
OVA_9,"16.1,16.2",NA,NA,NA,NA,NA,NA,Ovambos
OVA_10,"17.2,18.0",NA,NA,NA,NA,NA,NA,Ovambos
EQU_1,"14.3,16.0",NA,NA,NA,NA,NA,"13.2,14.0",Equatorial Guinean
EQU_2,"16.2,14.3",NA,NA,NA,NA,NA,"12.2,13.2",Equatorial Guinean
EQU_3,"18.0,14.3",NA,NA,NA,NA,NA,"13.2,14.0",Equatorial Guinean
EQU_4,"18.2,16.1",NA,NA,NA,NA,NA,"13.0,13.2",Equatorial Guinean
EQU_5,"18.0,17.2",NA,NA,NA,NA,NA,"14.0,14.0",Equatorial Guinean
EQU_6,"15.0,16.1",NA,NA,NA,NA,NA,"11.2,13.0",Equatorial Guinean
EQU_7,"18.0,16.1",NA,NA,NA,NA,NA,"15.0,13.2",Equatorial Guinean
EQU_8,"17.2,16.2",NA,NA,NA,NA,NA,"15.2,13.0",Equatorial Guinean
EQU_9,"14.0,17.2",NA,NA,NA,NA,NA,"13.2,12.2",Equatorial Guinean
EQU_10,"16.2,18.0",NA,NA,NA,NA,NA,"12.2,13.2",Equatorial Guinean
FAN_1,"16.1,15.0",NA,NA,NA,NA,NA,"14.0,13.0",Fang
FAN_2,"18.0,18.2",NA,NA,NA,NA,NA,"13.0,11.2",Fang
FAN_3,"18.2,21.1",NA,NA,NA,NA,NA,"14.2,14.2",Fang
FAN_4,"18.0,21.2",NA,NA,NA,NA,NA,"13.0,13.2",Fang
FAN_5,"17.0,17.0",NA,NA,NA,NA,NA,"13.0,13.0",Fang
FAN_6,"21.0,15.0",NA,NA,NA,NA,NA,"14.0,14.2",Fang
FAN_7,"18.0,18.2",NA,NA,NA,NA,NA,"15.2,13.0",Fang
FAN_8,"16.1,16.1",NA,NA,NA,NA,NA,"14.2,14.2",Fang
FAN_9,"17.0,14.0",NA,NA,NA,NA,NA,"14.0,13.0",Fang
FAN_10,"17.2,18.2",NA,NA,NA,NA,NA,"13.0,15.2",Fang
GAB_1,"14.3,14.3",NA,NA,NA,NA,NA,"13.2,14.2",Gabonese
GAB_2,"18.2,19.0",NA,NA,NA,NA,NA,"10.2,14.0",Gabonese
GAB_3,"17.2,19.0",NA,NA,NA,NA,NA,"13.2,15.2",Gabonese
GAB_4,"18.2,16.1",NA,NA,NA,NA,NA,"14.2,14.0",Gabonese
GAB_5,"19.2,18.0",NA,NA,NA,NA,NA,"15.0,13.2",Gabonese
GAB_6,"18.0,16.0",NA,NA,NA,NA,NA,"13.0,14.2",Gabonese
GAB_7,"18.2,18.0",NA,NA,NA,NA,NA,"14.0,11.2",Gabonese
GAB_8,"17.0,16.1",NA,NA,NA,NA,NA,"15.0,13.2",Gabonese
GAB_9,"17.0,18.2",NA,NA,NA,NA,NA,"13.2,14.0",Gabonese
GAB_10,"16.1,18.0",NA,NA,NA,NA,NA,"13.0,14.2",Gabonese
HUT_1,"14.3,15.0",NA,NA,NA,NA,NA,"13.2,13.2",Hutu
HUT_2,"20.2,17.0",NA,NA,NA,NA,NA,"14.0,14.0",Hutu
HUT_3,"16.2,16.0",NA,NA,NA,NA,NA,"13.2,14.2",Hutu
HUT_4,"16.0,16.1",NA,NA,NA,NA,NA,"12.0,12.2",Hutu
HUT_5,"16.0,14.3",NA,NA,NA,NA,NA,"15.0,14.2",Hutu
HUT_6,"16.0,16.2",NA,NA,NA,NA,NA,"14.0,12.2",Hutu
HUT_7,"16.1,20.2",NA,NA,NA,NA,NA,"14.2,14.0",Hutu
HUT_8,"16.0,15.0",NA,NA,NA,NA,NA,"11.0,15.0",Hutu
HUT_9,"14.3,19.0",NA,NA,NA,NA,NA,"13.2,16.0",Hutu
HUT_10,"14.0,18.2",NA,NA,NA,NA,NA,"12.0,13.2",Hutu
AFR_1,"19.0,18.2",NA,NA,NA,NA,NA,"14.0,11.0",African Americans
AFR_2,"17.2,16.1",NA,NA,NA,NA,NA,"13.0,13.0",African Americans
AFR_3,"20.2,18.0",NA,NA,NA,NA,NA,"13.0,12.2",African Americans
AFR_4,"17.2,17.0",NA,NA,NA,NA,NA,"15.2,10.0",African Americans
AFR_5,"15.0,19.0",NA,NA,NA,NA,NA,"13.0,14.0",African Americans
AFR_6,"20.0,16.2",NA,NA,NA,NA,NA,"12.2,14.2",African Americans
AFR_7,"18.0,16.2",NA,NA,NA,NA,NA,"13.2,10.2",African Americans
AFR_8,"16.2,17.0",NA,NA,NA,NA,NA,"12.2,13.0",African Americans
AFR_9,"19.0,16.1",NA,NA,NA,NA,NA,"14.2,14.2",African Americans
AFR_10,"14.3,10.0",NA,NA,NA,NA,NA,"12.2,10.0",African Americans
BER_1,"17.0,14.0",NA,NA,NA,NA,NA,"12.0,11.2",Berber
BER_2,"17.0,16.0",NA,NA,NA,NA,NA,"11.2,11.2",Berber
BER_3,"17.0,13.0",NA,NA,NA,NA,NA,"11.2,12.0",Berber
BER_4,"13.0,16.0",NA,NA,NA,NA,NA,"11.2,12.2",Berber
BER_5,"17.0,14.3",NA,NA,NA,NA,NA,"10.2,13.2",Berber
BER_6,"16.0,14.0",NA,NA,NA,NA,NA,"10.0,11.2",Berber
BER_7,"14.3,14.3",NA,NA,NA,NA,NA,"12.0,11.2",Berber
BER_8,"10.0,16.0",NA,NA,NA,NA,NA,"10.2,10.2",Berber
BER_9,"16.2,14.3",NA,NA,NA,NA,NA,"10.0,10.0",Berber
BER_10,"14.3,14.0",NA,NA,NA,NA,NA,"10.2,10.2",Berber
EGY_1,"17.0,17.0",NA,NA,NA,NA,NA,"12.2,13.2",Egyptians
EGY_2,"17.0,18.0",NA,NA,NA,NA,NA,"11.0,10.2",Egyptians
EGY_3,"17.0,14.0",NA,NA,NA,NA,NA,"11.0,15.0",Egyptians
EGY_4,"17.0,17.0",NA,NA,NA,NA,NA,"11.0,13.0",Egyptians
EGY_5,"16.2,17.2",NA,NA,NA,NA,NA,"14.0,13.0",Egyptians
EGY_6,"16.0,17.2",NA,NA,NA,NA,NA,"10.2,14.0",Egyptians
EGY_7,"15.0,18.0",NA,NA,NA,NA,NA,"11.0,12.2",Egyptians
EGY_8,"17.2,15.0",NA,NA,NA,NA,NA,"11.0,11.0",Egyptians
EGY_9,"16.2,14.0",NA,NA,NA,NA,NA,"13.2,11.0",Egyptians
EGY_10,"16.2,15.0",NA,NA,NA,NA,NA,"11.0,11.2",Egyptians
GUI_1,"19.2,16.2",NA,NA,NA,NA,NA,"12.0,14.0",Guinean
GUI_2,"16.0,14.0",NA,NA,NA,NA,NA,"10.2,15.0",Guinean
